word,sentiment,weight,freq_corpus
died,negative,2.296,6330
dies,negative,1.951,1178
diet,negative,1.633,249
differ,negative,1.489,123
difference,negative,2.129,2800
differences,negative,1.624,238
different,ambiguous,2.298,6385
differently,ambiguous,1.756,455
difficult,negative,2.006,1537
dig,ambiguous,1.559,173
diphtheria,negative,1.477,116
direct,positive,1.856,741
direction,positive,1.674,305
directly,positive,1.829,649
dirty,negative,1.646,266
disabilities,negative,1.523,145
disability,negative,1.606,218
disabled,negative,1.782,516
disagnos,negative,0.5,0
disagnosed,negative,0.5,0
disagree,negative,1.887,861
disappear,negative,1.592,204
disappeared,negative,1.554,169
disappointed,negative,1.678,311
disappointing,negative,1.579,191
disaster,negative,1.772,492
discover,positive,1.517,141
discovered,positive,1.751,444
discriminate,negative,1.536,155
discrimination,negative,1.784,522
discriminatory,negative,1.585,197
discuss,ambiguous,1.786,526
discussed,ambiguous,1.631,247
discussing,ambiguous,1.707,358
discussion,ambiguous,1.82,621
discussions,ambiguous,1.545,162
disease,negative,2.224,4459
diseases,negative,1.927,1045
disgrace,negative,1.748,436
disgraceful,negative,1.674,304
disgusting,negative,1.891,880
disinformation,negative,1.735,411
disingenuous,negative,1.496,127
dismissed,negative,1.541,159
disorders,negative,1.496,127
disruption,negative,1.648,268
distance,positive,1.921,1019
distancing,positive,2.013,1594
distract,ambiguous,1.5,130
distracted,negative,1.487,122
distraction,ambiguous,1.548,164
distribute,positive,1.543,160
distributed,positive,1.602,214
distribution,positive,1.717,376
distrust,negative,1.512,138
disturbing,negative,1.532,152
dithering,negative,1.512,138
diversity,positive,1.372,69
divide,negative,1.734,408
divided,negative,1.527,148
division,negative,1.702,349
divisive,negative,1.391,76
dizzy,negative,1.472,113
dna,ambiguous,1.864,770
doc,positive,1.76,463
docs,positive,1.676,307
doctor,positive,2.106,2505
doctors,positive,2.144,3011
document,positive,1.662,287
documented,positive,1.559,173
documents,positive,1.661,285
dodgy,negative,1.728,396
doesn<U+FFFD>t,negative,0.5,0
dog,negative,1.866,777
dogs,negative,1.695,338
domestic,positive,1.768,481
dominant,negative,1.68,313
don<U+FFFD>t,negative,0.5,0
donate,positive,1.684,319
donated,positive,1.658,282
donating,positive,1.502,131
donation,positive,1.52,143
donations,positive,1.474,114
done,positive,2.38,9538
doom,negative,1.861,759
dosage,positive,1.489,123
dose,positive,2.661,37551
dosed,positive,1.421,88
doses,positive,2.398,10422
dosis,positive,1.47,112
double,positive,2.274,5679
doubled,positive,1.617,230
doubles,positive,1.569,182
doubling,positive,1.632,248
doubt,negative,2.019,1637
downs,negative,1.59,202
dozens,positive,1.583,195
draconian,negative,1.605,217
drama,negative,1.621,235
dramatic,negative,1.546,163
dramatically,negative,1.651,272
draw,positive,1.703,351
drawing,positive,1.549,165
drawn,positive,1.539,157
dreadful,negative,1.624,238
dream,positive,1.679,312
dreams,positive,1.551,167
drive,positive,1.877,819
driven,positive,1.711,365
driver,positive,1.716,374
drivers,positive,1.682,317
driving,positive,1.859,752
drop,negative,2.001,1503
dropin,negative,1.824,632
dropped,negative,1.804,574
dropping,negative,1.818,616
drops,negative,1.709,361
drug,positive,2.032,1745
drugs,positive,1.995,1457
drunk,negative,1.727,395
dude,negative,1.744,429
dumb,negative,1.829,649
duration,ambiguous,1.492,125
dying,negative,2.209,4137
ear,positive,1.517,141
earning,positive,1.389,75
ears,positive,1.606,218
earth,positive,1.836,670
ease,positive,1.646,266
easier,positive,1.875,811
easily,positive,1.923,1026
easing,positive,1.489,123
easy,positive,2.067,2072
eat,positive,1.912,974
eating,positive,1.83,651
ebola,negative,1.566,179
economic,negative,1.881,836
economy,negative,2.056,1967
edge,negative,1.666,293
educate,positive,1.661,286
educated,positive,1.66,284
education,positive,1.912,973
effect,negative,2.16,3259
effective,positive,2.124,2730
effectively,positive,1.806,580
effectiveness,positive,2.009,1564
effects,negative,2.385,9762
efficacy,positive,2.049,1894
efficiency,positive,1.634,250
efficient,positive,1.793,544
effort,positive,1.944,1140
efforts,positive,1.823,629
ego,negative,1.47,112
elderly,ambiguous,1.992,1438
eldest,negative,1.544,161
elected,positive,1.55,166
election,positive,1.727,394
elections,positive,1.587,199
eligibility,positive,1.702,349
eligible,positive,2.12,2686
eliminate,negative,1.666,292
eliminated,negative,1.466,110
elite,negative,1.683,318
elites,negative,1.568,181
embarrassing,negative,1.683,318
emerge,ambiguous,1.578,190
emerged,ambiguous,1.52,143
emergence,ambiguous,1.505,133
emergency,negative,2.058,1988
emerging,ambiguous,1.607,219
emotional,negative,1.638,255
emotionally,negative,1.404,81
empathy,positive,1.54,158
